unique_product_id,ID,Description
ManufacturerProductFamilyProductLine,WO-1,The Radiator is leaking
ManufacturerProductFamilyProductLine,WO-2,Water is leaking all over
ManufacturerProductFamilyProductLine,WO-3,The Compressor is jammed
ManufacturerProductFamilyProductLine,WO-4,The Compressor is not starting
ManufacturerProductFamilyProductLine,WO-5,The Battery is dead
ManufacturerProductFamilyProductLine,WO-6,Radiator is leaking and the battery needs to be replaced
ManufacturerProductFamilyProductLine,WO-7,Radiator is vibrating and the Compressor has an issue.
ManufacturerProductFamilyProductLine,WO-8,Compressor is jammed and the battery is dead
ManufacturerProductFamilyProductLine,WO-9,"The Radiator is leaking, the Compressor is jammed and the battery is dead"
ManufacturerProductFamilyProductLine,WO-10,"Water leaking all over the place, the Compressor is not starting and the battery needs replacement"
