Manufacturer,ProductFamily,ProductLine,ID,Description
Manufacturer,ProductFamily,ProductLine,WO-1,The Radiator is leaking
Manufacturer,ProductFamily,ProductLine,WO-2,Water is leaking all over
Manufacturer,ProductFamily,ProductLine,WO-3,The Compressor is jammed
Manufacturer,ProductFamily,ProductLine,WO-4,The Compressor is not starting
Manufacturer,ProductFamily,ProductLine,WO-5,The Battery is dead
Manufacturer,ProductFamily,ProductLine,WO-6,Radiator is leaking and the battery needs to be replaced
Manufacturer,ProductFamily,ProductLine,WO-7,Radiator is vibrating and the Compressor has an issue.
Manufacturer,ProductFamily,ProductLine,WO-8,Compressor is jammed and the battery is dead
Manufacturer,ProductFamily,ProductLine,WO-9,"The Radiator is leaking, the Compressor is jammed and the battery is dead"
Manufacturer,ProductFamily,ProductLine,WO-10,"Water leaking all over the place, the Compressor is not starting and the battery needs replacement"
